zone_name,zone_id,epc,랙그룹명,층,선반명,파레트,높이
RCH-C1-4-D-B,40632418598f4e84953d4a243f0d2127,DA02A40002000000003600ED,C1,4,D,B,8000
RCH-C2-1-A-A,49fe56c6898a27f88c8abf28da34e400,DA02A40002000000004500ED,C2,1,A,A,1500
RCH-C2-1-A-B,47bec26a51a5c817902a5f9bcc3ab56d,DA02A40002000000004600ED,C2,1,A,B,1500
RCH-C2-1-B-A,44b851094f4361bcbacc1ecbc2a822cb,DA02A40002000000004700ED,C2,1,B,A,1500
RCH-C2-1-B-B,4aa9485d00a3c3e6985d23c1ed3ea722,DA02A40002000000004800ED,C2,1,B,B,1500
RCH-C2-1-C-A,4658383e0ab93939a09e46ff28c104b2,DA02A40002000000004900ED,C2,1,C,A,1500
RCH-C2-1-C-B,402bf1b25afa0079948498f4e7ed023a,DA02A40002000000004A00ED,C2,1,C,B,1500
RCH-C2-1-D-A,492d000bac7496e7a3630d18fe7af15e,DA02A40002000000004B00ED,C2,1,D,A,1500
RCH-C2-2-A-A,425fa738f37206f89b2afd0140c1e4a8,DA02A40002000000004500ED,C2,2,A,A,3100
RCH-C2-2-A-B,4106bc2b7e58da15aed846bd131c0f67,DA02A40002000000004600ED,C2,2,A,B,3100
RCH-C2-2-B-A,44c66499e4ae958cbe525c58c4b6260a,DA02A40002000000004700ED,C2,2,B,A,3100
RCH-C2-2-B-B,444d1828bf86d45891c6aff33677bef4,DA02A40002000000004800ED,C2,2,B,B,3100
RCH-C2-2-C-A,4e10a0d80239195197413ae5fd2c561a,DA02A40002000000004900ED,C2,2,C,A,3100
RCH-C2-2-C-B,48dcb7a395e4fa2da029a80a56c43b01,DA02A40002000000004A00ED,C2,2,C,B,3100
RCH-C2-2-D-A,45ad26d37400dcd1b31ab4a26c96cf1c,DA02A40002000000004B00ED,C2,2,D,A,3100
RCH-C2-3-A-A,46c9a36cacd0e749a5d56848f2fb643f,DA02A40002000000004500ED,C2,3,A,A,5350
RCH-C2-3-A-B,4c7d7f31be24cb9ca5ffeb5afe5e916c,DA02A40002000000004600ED,C2,3,A,B,5350
RCH-C2-3-B-A,41977e547de5972695b823aaccdb2e88,DA02A40002000000004700ED,C2,3,B,A,5350
